id,Geographic Area Name,Total housing units,Occupied housing units,Vacant housing units,Owner-occupied,Renter-occupied,Owner-occupied units less than $50 000,Owner-occupied units $50 000 to $99 999,Owner-occupied units $100 000 to $149 999,Owner-occupied units $150 000 to $199 999,Owner-occupied units $200 000 to $299 999,Owner-occupied units $300 000 to $499 999,Owner-occupied units $500 000 to $999 999,Owner-occupied units $1 000 000 or more,Housing units with a mortgage,Housing units with a mortgage less than $500,Housing units with a mortgage $500 to $999,Housing units with a mortgage $1 000 to $1 499,Housing units with a mortgage $1 500 to $1 999,Housing units with a mortgage $2 000 to $2 499,Housing units with a mortgage $2 500 to $2 999,Housing units with a mortgage $3 000 or more,Housing units without a mortgage,Housing units without a mortgage less than $250,Housing units without a mortgage $250 to $399,Housing units without a mortgage $400 to $599,Housing units without a mortgage $600 to $799,Housing units without a mortgage $800 to $999,Housing units without a mortgage $1 000 or more,Occupied units paying rent,Occupied units paying rent less than $500,Occupied units paying rent $500 to $999,Occupied units paying rent $1 000 to $1 499,Occupied units paying rent $1 500 to $1 999,Occupied units paying rent $2 000 to $2 499,Occupied units paying rent $2 500 to $2 999,Occupied units paying rent $3 000 or more,Occupied units not paying rent
1,Albany County,140088,125376,14712,71274,54102,2653,3938,8796,16267,22923,13609,2616,472,44991,280,4559,11964,13305,7600,3708,3575,26283,1274,3467,7641,6023,3562,4316,52747,4797,23602,19464,3364,985,257,278,1355
2,Allegany County,26324,18124,8200,13463,4661,3567,6010,1849,993,657,300,81,6,6451,275,3050,2082,643,286,47,68,7012,749,2194,2304,1154,340,271,4242,979,2831,386,29,8,6,3,419
3,Bronx County,524488,495356,29132,97658,397698,12235,3982,4575,5196,9136,40801,20212,1521,58604,2563,4676,6439,8264,9943,9720,16999,39054,11071,2304,3546,5984,6400,9749,387633,61542,82982,166172,61225,12766,1812,1134,10065
4,Broome County,90727,78821,11906,51769,27052,4579,17109,13531,8314,5408,1948,649,231,28594,505,8687,11129,4615,2078,821,759,23175,1859,5225,8343,4222,2014,1512,25868,3982,16862,3665,799,232,88,240,1184
5,Cattaraugus County,41431,31723,9708,22617,9106,4102,9678,4241,2363,1404,571,226,32,11392,352,4817,3947,1442,432,236,166,11225,1450,2834,3735,1899,786,521,8398,2338,5224,717,45,58,13,3,708
6,Cayuga County,36882,31428,5454,22255,9173,1939,6852,5378,3582,2847,1180,360,117,12768,235,3406,5193,2192,974,424,344,9487,690,2146,3129,2032,849,641,8604,1452,5810,1187,110,22,8,15,569
7,Chautauqua County,67422,52983,14439,37098,15885,6441,15791,6611,3907,2490,1213,506,139,19424,563,9738,5570,2214,642,395,302,17674,1959,5255,5984,2904,876,696,14847,3617,9886,1244,64,36,0,0,1038
8,Chemung County,38761,34664,4097,23609,11055,2397,8734,5337,3576,2344,1039,164,18,13911,257,4929,5284,2015,670,432,324,9698,942,2642,3570,1635,528,381,10680,1710,6378,2230,214,111,10,27,375
9,Chenango County,25269,20373,4896,15265,5108,2823,5170,3504,1888,1224,441,173,42,7394,194,2477,2911,1195,465,80,72,7871,1071,1930,2651,1377,504,338,4532,1137,2992,316,67,9,11,0,576
10,Clinton County,36352,31680,4672,21542,10138,2304,4985,5888,4218,2854,875,295,123,11722,198,3350,4682,2222,733,244,293,9820,1117,2508,3359,1786,518,532,9418,1274,6182,1599,268,26,46,23,720
11,Columbia County,33252,25470,7782,18429,7041,1116,989,1914,3538,5582,3359,1436,495,10262,72,1128,2954,2753,1644,775,936,8167,353,1019,2085,2107,1180,1423,6452,847,3178,1847,489,76,7,8,589
12,Cortland County,20724,17925,2799,11598,6327,817,3849,3346,1673,1347,393,97,76,6342,63,1515,2890,1244,395,110,125,5256,258,928,1887,1166,561,456,5903,1008,3947,734,84,28,0,102,424
13,Delaware County,31524,19098,12426,14008,5090,1339,3210,3071,2372,2410,1110,384,112,6576,172,1977,2713,1002,360,191,161,7432,716,1464,2715,1550,536,451,4661,935,3002,660,49,15,0,0,429
14,Dutchess County,120136,107384,12752,74264,33120,2691,2082,3682,8666,26519,23537,6030,1057,50553,176,1996,6357,11600,11276,8822,10326,23711,429,1220,3545,5327,5257,7933,31345,1771,8220,13928,4865,1966,357,238,1775
15,Erie County,425716,386371,39345,251212,135159,20610,50587,66522,45233,41079,20630,5388,1163,155154,2939,40185,58120,29285,12840,5778,6007,96058,7861,19690,32992,21176,8187,6152,129818,19381,81740,22638,3858,1022,694,485,5341
16,Essex County,26114,15257,10857,11600,3657,790,2630,2498,1932,1815,1285,490,160,5915,35,1538,2557,1135,280,146,224,5685,517,1111,1965,1072,531,489,3296,381,2009,676,118,75,17,20,361
17,Franklin County,25582,18956,6626,13820,5136,2025,4711,2845,1544,1467,816,320,92,6909,163,2486,2438,1043,445,133,201,6911,1337,1711,2102,1012,392,357,4593,1043,2845,587,74,5,34,5,543
18,Fulton County,29004,22535,6469,16085,6450,2067,5392,3263,2110,2075,857,256,65,8534,267,3039,3108,1231,481,178,230,7551,729,1805,2539,1480,631,367,5774,782,3929,967,63,0,0,33,676
19,Genesee County,25712,23951,1761,17369,6582,1528,5728,5224,2661,1605,454,140,29,10404,165,3213,4190,1846,605,255,130,6965,693,1606,2426,1489,468,283,5968,847,3990,1040,62,11,0,18,614
20,Greene County,29625,17106,12519,12960,4146,785,1398,2687,2936,3156,1412,499,87,6930,83,916,2345,1927,962,350,347,6030,348,1262,1554,1565,821,480,3759,540,2048,924,154,52,18,23,387
21,Hamilton County,8885,1095,7790,927,168,39,161,204,187,122,137,64,13,429,5,152,141,62,43,12,14,498,58,122,178,87,35,18,127,17,85,19,5,1,0,0,41
22,Herkimer County,33726,25187,8539,18053,7134,2469,7089,3442,2312,1661,649,312,119,8939,279,3345,3136,1237,523,217,202,9114,1103,2339,3243,1401,649,379,6464,1503,4220,677,49,4,11,0,670
23,Jefferson County,59547,43206,16341,24012,19194,2243,4170,5652,5048,4431,1660,624,184,14136,174,3904,5422,2467,1406,342,421,9876,1136,2290,3557,1706,760,427,17302,2530,6638,5894,1665,395,138,42,1892
24,Kings County,1028383,944650,83733,283752,660898,7284,4269,5025,5863,17639,63042,123614,57016,175420,1268,8050,15093,21783,28868,28326,72032,108332,11505,5862,13278,19615,21290,36782,642292,74129,110782,218181,133838,55823,24792,24747,18606
25,Lewis County,15519,10236,5283,7987,2249,747,2309,1999,1193,1096,446,145,52,4072,110,1325,1578,523,338,105,93,3915,469,1097,1268,662,230,189,1996,397,1081,436,32,38,10,2,253
26,Livingston County,27427,24432,2995,17888,6544,1759,4894,4613,3492,2119,753,222,36,10860,171,2927,4127,2180,981,269,205,7028,511,1259,2438,1627,661,532,6190,873,4265,744,56,116,15,121,354
27,Madison County,32137,26307,5830,19985,6322,1917,5192,4219,3256,3109,1846,333,113,12263,137,3025,4484,2370,1228,494,525,7722,695,1607,2458,1553,690,719,5727,1075,3539,945,149,4,5,10,595
28,Monroe County,325818,300496,25322,191781,108715,10331,35536,58815,39632,30548,12884,3238,797,127335,1618,25340,47994,28408,11728,5629,6618,64446,3218,9170,20305,15670,8356,7727,105914,11290,59340,27112,5213,1511,401,1047,2801
29,Montgomery County,23480,19700,3780,13565,6135,1887,4907,2895,1912,1344,385,161,74,7098,39,1903,3097,1504,314,100,141,6467,423,1300,2188,1424,778,354,5555,915,3887,679,57,17,0,0,580
30,Nassau County,471031,444136,26895,357982,86154,6959,2763,2944,6008,27799,166225,116672,28612,229518,797,4571,8181,17864,29836,43171,125098,128464,2555,2789,5662,8096,13161,96201,80980,5662,8634,19116,21647,13175,6736,6010,5174
31,New York County,872645,758345,114300,182453,575892,5527,2702,2039,1235,5310,22739,60474,82427,93419,825,4453,8036,11314,10559,9639,48593,89034,20387,6382,7375,6937,6657,41296,564439,65388,97528,100763,80408,70441,53841,96070,11453
32,Niagara County,100104,87978,12126,62888,25090,7057,19569,14400,10460,7681,2673,796,252,36676,682,10917,13869,6657,2548,1096,907,26212,1638,5358,9692,5696,2363,1465,23960,5533,15419,2333,504,115,29,27,1130
33,Oneida County,104998,90472,14526,60271,30201,5843,17842,15150,9685,7482,3126,932,211,34419,433,9842,13601,6026,2528,906,1083,25852,2107,5038,9970,5601,1760,1376,28458,4863,18039,4442,787,140,78,109,1743
34,Onondaga County,206707,185840,20867,120606,65234,5670,26779,34743,23150,19199,8081,2392,592,77008,1129,17202,27496,16612,7483,3642,3444,43598,2512,8508,14025,9413,4524,4616,63207,8299,38203,13315,2165,736,201,288,2027
35,Ontario County,50074,44269,5805,32389,11880,2652,5467,7156,6060,6002,3903,887,262,20526,412,4448,7112,4165,2195,1231,963,11863,635,1827,3711,2986,1349,1355,11298,1225,6594,2686,511,55,122,105,582
36,Orange County,141493,126460,15033,86449,40011,3146,3282,6480,12685,29040,25387,5706,723,59909,247,1838,7861,12966,13054,10909,13034,26540,541,1342,3776,5243,5273,10365,38223,2008,9879,16231,6963,1905,713,524,1788
37,Orleans County,18528,16214,2314,12166,4048,1638,5047,2705,1610,765,242,108,51,7083,63,2247,2997,1128,371,193,84,5083,246,962,1792,1086,698,299,3671,598,2634,397,39,0,3,0,377
38,Oswego County,54304,45881,8423,33302,12579,5016,12159,7470,4428,3168,768,189,104,20173,314,6181,7844,3717,1310,436,371,13129,886,3593,4426,2591,931,702,11616,2040,7267,1993,219,56,0,41,963
39,Otsego County,31098,23627,7471,17553,6074,1716,3794,3813,2906,3037,1517,620,150,9097,221,2519,3121,1721,717,414,384,8456,1065,2108,2893,1341,527,522,5551,621,3490,962,323,97,27,31,523
40,Putnam County,38578,34316,4262,28101,6215,609,258,751,1383,6452,12743,5237,668,19779,83,324,1132,2501,4261,3814,7664,8322,33,260,705,966,1412,4946,5861,396,1001,2253,1275,560,181,195,354
41,Queens County,850422,777904,72518,346041,431863,8675,4240,8946,15825,38628,107466,144295,17966,205409,2146,13231,20993,30020,37689,36616,64714,140632,18494,8967,15459,25115,29497,43100,416082,20853,53681,148029,133912,42390,10243,6974,15781
42,Rensselaer County,72663,64456,8207,40878,23578,1731,3809,7563,10327,10941,5547,780,180,27183,179,3307,8133,7946,4026,2006,1586,13695,781,1463,3811,3745,2153,1742,22541,2186,11455,6487,1927,379,61,46,1037
43,Richmond County,179179,166150,13029,115428,50722,2327,890,1396,1245,10057,53060,43376,3077,79999,222,2470,7732,13472,18607,16244,21252,35429,459,1035,4554,8887,9266,11228,48448,5902,9386,17468,10527,3798,1030,337,2274
44,Rockland County,105530,99935,5595,68822,31113,1726,1231,1251,2146,8274,32068,20123,2003,47347,98,1116,2072,4320,7471,8018,24252,21475,356,471,1139,1636,2307,15566,30004,2192,4222,10291,7261,3413,1441,1184,1109
45,Saratoga County,103766,93129,10637,66624,26505,4850,2926,4520,11371,21299,16999,4148,511,44129,364,4389,11069,12633,7773,4012,3889,22495,1371,3520,6213,5799,2769,2823,25496,1780,9895,9085,3002,904,366,464,1009
46,Schenectady County,69062,53825,15237,36519,17306,1408,5111,8701,9042,8180,3404,550,123,23524,241,2829,7746,7281,3189,1396,842,12995,478,1669,3916,3377,2054,1501,16555,1817,9099,4389,879,231,89,51,751
47,Schoharie County,17465,12539,4926,9471,3068,832,2089,2055,1959,1594,761,157,24,5286,95,1140,2047,1133,477,218,176,4185,273,817,1447,810,491,347,2693,323,1698,513,138,7,14,0,375
48,Schuyler County,9691,7444,2247,5688,1756,600,1771,1248,877,730,329,99,34,2896,53,1070,997,507,135,83,51,2792,277,776,888,477,160,214,1605,324,1071,181,26,3,0,0,151
49,Seneca County,16293,13536,2757,9912,3624,1120,3957,1979,1138,930,559,177,52,5506,98,2038,2054,785,273,95,163,4406,409,974,1478,903,360,282,3362,516,2320,483,35,8,0,0,262
50,St. Lawrence County,52908,41638,11270,30189,11449,5152,12417,4959,3190,2278,1328,647,218,15862,648,6370,5233,2076,779,276,480,14327,1651,4141,4824,2226,785,700,10478,2287,6008,1553,356,162,65,47,971
51,Steuben County,49363,40351,9012,28956,11395,4440,10984,5623,3403,2631,1278,466,131,14712,367,5416,5310,1940,777,498,404,14244,1711,3605,5017,2196,860,855,10316,2140,6362,1635,123,26,4,26,1079
52,Suffolk County,574342,489328,85014,393065,96263,9186,5015,7270,14007,69991,186626,84548,16422,268464,887,5194,15127,32797,53158,55501,105800,124601,1746,3496,6840,12413,19343,80763,90901,4919,8493,23715,28523,16811,5613,2827,5362
53,Sullivan County,50232,27679,22553,18521,9158,1323,3074,3050,3891,4148,2194,649,192,9727,106,1373,2904,2509,1587,718,530,8794,271,1218,2319,1928,1626,1432,8210,894,4574,2302,343,83,14,0,948
54,Tioga County,22427,19996,2431,15422,4574,2040,4454,3976,2432,1849,497,124,50,8052,62,2386,2992,1724,449,211,228,7370,743,1501,2535,1462,593,536,4101,624,2743,555,132,32,6,9,473
55,Tompkins County,42727,38986,3741,21630,17356,1740,1986,3599,4228,5532,3499,957,89,12855,71,1873,4212,3035,1551,972,1141,8775,611,1069,2215,2049,1104,1727,16905,1243,6472,5975,2009,733,106,367,451
56,Ulster County,84647,69662,14985,48343,21319,2142,2657,5825,9927,15067,9407,2662,656,28631,165,2040,5987,7683,5983,3550,3223,19712,766,1493,4397,4749,3575,4732,19937,1347,7432,8094,2431,491,70,72,1382
57,Warren County,39559,27249,12310,19605,7644,1187,1596,3625,3926,4970,2732,996,573,11813,198,2095,4155,2842,1296,576,651,7792,541,1812,2267,1523,781,868,7212,632,3943,2164,360,84,15,14,432
58,Washington County,29367,23988,5379,17431,6557,1169,3685,4278,3708,2814,1167,469,141,10114,69,2158,3993,2365,808,390,331,7317,504,1547,2437,1570,560,699,5972,616,3553,1536,133,45,62,27,585
59,Wayne County,41561,36578,4983,28109,8469,2641,8282,7694,4891,3219,1040,239,103,17111,203,4580,6767,3572,1307,341,341,10998,479,2244,4219,2286,1039,731,7901,1413,5236,1044,141,44,23,0,568
60,Westchester County,373236,345885,27351,212731,133154,3942,4931,7829,9134,18676,58915,80499,28805,139074,1314,7019,7907,10864,13787,16255,81928,73657,5479,2650,3939,4865,6311,50413,127868,9099,16481,43724,33661,14273,5240,5390,5286
61,Wyoming County,18085,15686,2399,11897,3789,1253,4072,3020,1913,1096,373,130,40,6978,181,2444,2634,1233,235,156,95,4919,411,1249,1769,883,408,199,3399,966,2185,217,27,2,2,0,390
62,Yates County,13771,9338,4433,7196,2142,568,1934,1663,916,848,693,487,87,3862,167,1271,1362,473,262,145,182,3334,357,720,1003,604,280,370,1985,383,1270,281,11,10,0,30,157
